,,,Number of people in each PTAL level:,,,,,,,,,,0,1,2,3,4,5,6,7,8,
WD11CD,WD11NM,LAD11NM,0,1a,1b,2,3,4,5,6a,6b,TOTAL,0,1a,1b,2,3,4,5,6a,6b,Average Score
E05000001,Aldersgate,City of London,0,0,0,0,0,0,0,0,"1,465","1,465",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
E05000006,Bread Street,City of London,0,0,0,0,0,0,0,64,980,"1,044",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7.5,7.9
E05000015,Cripplegate,City of London,0,0,0,0,0,0,0,935,"1,847","2,782",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.3,7.7
E05000018,Farringdon Without,City of London,0,0,0,0,0,0,0,17,"1,082","1,099",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.9,8.0
E05000021,Portsoken,City of London,0,0,0,0,0,0,0,0,985,985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
E05000026,Abbey,Barking and Dagenham,0,229,"1,119",589,522,435,"1,435","8,181",276,"12,786",0.0,0.0,0.2,0.1,0.2,0.2,0.7,4.5,0.2,6.0
E05000027,Alibon,Barking and Dagenham,0,441,"1,842","4,186","3,595",321,0,0,0,"10,385",0.0,0.0,0.4,1.2,1.4,0.2,0.0,0.0,0.0,3.1
E05000028,Becontree,Barking and Dagenham,0,206,"1,608","9,192",539,0,0,0,0,"11,545",0.0,0.0,0.3,2.4,0.2,0.0,0.0,0.0,0.0,2.9
E05000029,Chadwell Heath,Barking and Dagenham,9,"1,156","5,396","3,150",292,18,0,0,0,"10,021",0.0,0.1,1.1,0.9,0.1,0.0,0.0,0.0,0.0,2.3
E05000030,Eastbrook,Barking and Dagenham,271,"2,000","3,892","2,931","1,412",0,0,0,0,"10,506",0.0,0.2,0.7,0.8,0.5,0.0,0.0,0.0,0.0,2.3
E05000031,Eastbury,Barking and Dagenham,27,742,"3,441","5,783","1,518",28,31,55,0,"11,624",0.0,0.1,0.6,1.5,0.5,0.0,0.0,0.0,0.0,2.7
E05000032,Gascoigne,Barking and Dagenham,0,585,"2,276","6,260","1,752",585,554,440,0,"12,452",0.0,0.0,0.4,1.5,0.6,0.2,0.3,0.2,0.0,3.2
E05000033,Goresbrook,Barking and Dagenham,511,"1,585","2,162","6,282",727,0,0,0,0,"11,267",0.0,0.1,0.4,1.7,0.3,0.0,0.0,0.0,0.0,2.5
E05000034,Heath,Barking and Dagenham,0,170,"4,606","4,815","1,194",0,0,0,0,"10,786",0.0,0.0,0.9,1.3,0.4,0.0,0.0,0.0,0.0,2.7
E05000035,Longbridge,Barking and Dagenham,230,671,"1,704","6,760","1,210",103,182,619,0,"11,478",0.0,0.1,0.3,1.8,0.4,0.0,0.1,0.4,0.0,3.1
E05000036,Mayesbrook,Barking and Dagenham,0,155,"5,541","4,009",637,0,0,0,0,"10,342",0.0,0.0,1.1,1.2,0.2,0.0,0.0,0.0,0.0,2.5
E05000037,Parsloes,Barking and Dagenham,0,5,"3,304","6,212",318,0,0,0,0,"9,839",0.0,0.0,0.7,1.9,0.1,0.0,0.0,0.0,0.0,2.7
E05000038,River,Barking and Dagenham,0,"1,050","2,359","3,346","3,771",397,0,0,0,"10,923",0.0,0.1,0.4,0.9,1.4,0.2,0.0,0.0,0.0,3.0
