,Ids,Latitude,Longitude,CommonName,Line,Zone,ClosenessCentrality
0,940GZZLUBMY,51.497953,-0.063769,Bermondsey Underground Station,jubilee,2,6.00817325036
1,940GZZLUBND,51.514304,-0.149723,Bond Street Underground Station,jubilee,1,4.55021532287
2,940GZZLUBST,51.522883,-0.15713,Baker Street Underground Station,jubilee,1,4.92217374639
3,940GZZLUCGT,51.513584,0.008322,Canning Town Underground Station,jubilee,2,8.18979414683
4,940GZZLUCPK,51.607701,-0.294693,Canons Park Underground Station,jubilee,5,11.5052060786
5,940GZZLUCWR,51.497945,-0.049722,Canada Water Underground Station,jubilee,2,6.32328305375
6,940GZZLUCYF,51.503488,-0.018246,Canary Wharf Underground Station,jubilee,2,6.95208220599
7,940GZZLUDOH,51.551955,-0.239068,Dollis Hill Underground Station,jubilee,3,7.93724409271
8,940GZZLUFYR,51.546825,-0.179845,Finchley Road Underground Station,jubilee,2,6.22257733586
9,940GZZLUGPK,51.506947,-0.142787,Green Park Underground Station,jubilee,1,4.59023606602
10,940GZZLUKBN,51.546803,-0.204105,Kilburn Underground Station,jubilee,2,6.95184997294
11,940GZZLUKBY,51.584845,-0.27879,Kingsbury Underground Station,jubilee,4,10.0066986833
12,940GZZLULNB,51.505721,-0.088873,London Bridge Underground Station,jubilee,1,5.31933621934
13,940GZZLUNDN,51.553986,-0.249837,Neasden Underground Station,jubilee,3,8.24395630411
14,940GZZLUNGW,51.50047,0.004287,North Greenwich Underground Station,jubilee,2,7.5737790855
15,940GZZLUQBY,51.594188,-0.286219,Queensbury Underground Station,jubilee,4,10.7551001082
16,940GZZLUSJW,51.534521,-0.173948,St. John's Wood Underground Station,jubilee,2,5.56965300325
17,940GZZLUSTD,51.541806,-0.003458,Stratford Underground Station,jubilee,2,8.18255546537
18,940GZZLUSTM,51.619839,-0.303266,Stanmore Underground Station,jubilee,5,12.25872114
19,940GZZLUSWC,51.543681,-0.174894,Swiss Cottage Underground Station,jubilee,2,5.89516819986
20,940GZZLUSWK,51.503976,-0.10494,Southwark Underground Station,jubilee,1,5.22946315837
21,940GZZLUWHM,51.528136,0.005055,West Ham Underground Station,jubilee,2,8.52204973846
22,940GZZLUWHP,51.546638,-0.191059,West Hampstead Underground Station,jubilee,2,6.5881606241
23,940GZZLUWIG,51.549146,-0.221537,Willesden Green Underground Station,jubilee,2,7.26538036616
24,940GZZLUWLO,51.503299,-0.11478,Waterloo Underground Station,jubilee,1,5.01378517316
25,940GZZLUWSM,51.50132,-0.124861,Westminster Underground Station,jubilee,1,4.91127006674
26,940GZZLUWYP,51.563198,-0.279262,Wembley Park Underground Station,jubilee,4,8.51302083333
27,940GZZLUBST,51.522883,-0.15713,Baker Street Underground Station,bakerloo,1,4.92217374639
28,940GZZLUCHX,51.50741,-0.127277,Charing Cross Underground Station,bakerloo,1,4.99824923341
29,940GZZLUEAC,51.494536,-0.100606,Elephant & Castle Underground Station,bakerloo,1,5.97663915945
30,940GZZLUEMB,51.507058,-0.122666,Embankment Underground Station,bakerloo,1,5.06624729437
31,940GZZLUERB,51.520299,-0.17015,Edgware Road (Bakerloo) Underground Station,bakerloo,1,5.43558464105
32,940GZZLUHAW,51.592268,-0.335217,Harrow & Wealdstone Underground Station,bakerloo,5,15.0069963023
33,940GZZLUHSN,51.53631,-0.257883,Harlesden Underground Station,bakerloo,3,10.5294665404
34,940GZZLUKEN,51.581756,-0.31691,Kenton Underground Station,bakerloo,4,14.253481241
35,940GZZLUKPK,51.534979,-0.194232,Kilburn Park Underground Station,bakerloo,2,7.26895179473
36,940GZZLUKSL,51.530539,-0.225016,Kensal Green Underground Station,bakerloo,2,9.07272050866
