,Ids,Coordinates,CommonName,Line,ClosenessCentrality
0,940GZZLUBMY,"[-0.063769],[51.497953]",Bermondsey Underground Station,jubilee,0.0511596180082
1,940GZZLUBND,"[-0.149723],[51.514304]",Bond Street Underground Station,jubilee,0.0620347394541
2,940GZZLUBST,"[-0.15713],[51.522883]",Baker Street Underground Station,jubilee,0.0594059405941
3,940GZZLUCGT,"[0.008322],[51.513584]",Canning Town Underground Station,jubilee,0.0411861614498
4,940GZZLUCPK,"[-0.294693],[51.607701]",Canons Park Underground Station,jubilee,0.0302084382237
5,940GZZLUCWR,"[-0.049722],[51.497945]",Canada Water Underground Station,jubilee,0.0493827160494
6,940GZZLUCYF,"[-0.018246],[51.503488]",Canary Wharf Underground Station,jubilee,0.046232085067
7,940GZZLUDOH,"[-0.239068],[51.551955]",Dollis Hill Underground Station,jubilee,0.0413907284768
8,940GZZLUFYR,"[-0.179845],[51.546825]",Finchley Road Underground Station,jubilee,0.0501504513541
9,940GZZLUGPK,"[-0.142787],[51.506947]",Green Park Underground Station,jubilee,0.0614628149969
10,940GZZLUKBN,"[-0.204105],[51.546803]",Kilburn Underground Station,jubilee,0.0457177689729
11,940GZZLUKBY,"[-0.27879],[51.584845]",Kingsbury Underground Station,jubilee,0.0342896331009
12,940GZZLULNB,"[-0.088873],[51.505721]",London Bridge Underground Station,jubilee,0.0560224089636
13,940GZZLUNDN,"[-0.249837],[51.553986]",Neasden Underground Station,jubilee,0.0403171616718
14,940GZZLUNGW,"[0.004287],[51.50047]",North Greenwich Underground Station,jubilee,0.0435350457118
15,940GZZLUQBY,"[-0.286219],[51.594188]",Queensbury Underground Station,jubilee,0.0321233536781
16,940GZZLUSJW,"[-0.173948],[51.534521]",St. John's Wood Underground Station,jubilee,0.0543970988214
17,940GZZLUSTD,"[-0.003458],[51.541806]",Stratford Underground Station,jubilee,0.0415685187751
18,940GZZLUSTM,"[-0.303266],[51.619839]",Stanmore Underground Station,jubilee,0.0284927343527
19,940GZZLUSWC,"[-0.174894],[51.543681]",Swiss Cottage Underground Station,jubilee,0.0521920668058
20,940GZZLUSWK,"[-0.10494],[51.503976]",Southwark Underground Station,jubilee,0.0564440263405
21,940GZZLUWHM,"[0.005055],[51.528136]",West Ham Underground Station,jubilee,0.0402576489533
22,940GZZLUWHP,"[-0.191059],[51.546638]",West Hampstead Underground Station,jubilee,0.0478240076518
23,940GZZLUWIG,"[-0.221537],[51.549146]",Willesden Green Underground Station,jubilee,0.0443131462334
24,940GZZLUWLO,"[-0.11478],[51.503299]",Waterloo Underground Station,jubilee,0.0580607702729
25,940GZZLUWSM,"[-0.124861],[51.50132]",Westminster Underground Station,jubilee,0.0589159465829
26,940GZZLUWYP,"[-0.279262],[51.563198]",Wembley Park Underground Station,jubilee,0.0396144196488
27,940GZZLUBST,"[-0.15713],[51.522883]",Baker Street Underground Station,bakerloo,0.0594059405941
28,940GZZLUCHX,"[-0.127277],[51.50741]",Charing Cross Underground Station,bakerloo,0.0577145055791
